Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,36.990002,37.869999,36.520000,37.240002,27.185949,302757300
2013-02-01,37.540001,39.060001,36.540001,38.720001,28.266386,324939300
2013-03-01,38.490002,40.700001,38.450001,40.439999,29.522017,288428800
2013-04-01,40.389999,42.959999,39.770000,42.330002,31.125460,317772200
2013-05-01,42.150002,43.430000,39.990002,39.990002,29.404829,288223000
2013-06-01,39.950001,41.730000,38.970001,40.110001,29.493076,305808000
2013-07-01,40.500000,41.250000,39.500000,40.080002,29.674706,260921100
2013-08-01,40.400002,40.750000,37.799999,38.180000,28.267986,296801300
2013-09-01,38.270000,39.669998,37.750000,37.880001,28.045860,300960000
2013-10-01,38.000000,39.959999,36.830002,39.570000,29.510183,378979000
2013-11-01,39.570000,40.880001,39.220001,40.189999,29.972559,267950200
2013-12-01,40.099998,41.389999,38.869999,41.310001,31.023647,301144500
2014-01-01,41.119999,41.230000,37.720001,37.820000,28.402662,289400900
2014-02-01,38.020000,39.020000,36.889999,38.200001,28.688051,385231900
2014-03-01,37.880001,39.029999,37.849998,38.660000,29.033503,349073700
2014-04-01,38.529999,41.279999,38.040001,40.790001,30.875843,382724700
2014-05-01,40.790001,41.220001,40.259998,40.910000,30.966677,213626400
2014-06-01,40.750000,42.490002,40.150002,42.360001,32.064240,281955100
2014-07-01,42.389999,42.570000,39.250000,39.290001,29.964087,282905200
2014-08-01,39.130001,41.750000,39.060001,41.720001,31.817299,247865300
2014-09-01,41.520000,42.810001,41.180000,42.660000,32.534176,314829200
2014-10-01,42.549999,44.869999,40.099998,41.880001,32.172009,529864600
2014-11-01,41.790001,45.000000,41.590000,44.830002,34.438190,254105000
2014-12-01,44.180000,44.770000,39.799999,42.220001,32.657372,326860800
2015-01-01,42.259998,43.830002,41.110001,41.169998,31.845198,293092200
2015-02-01,41.209999,43.660000,40.900002,43.299999,33.492752,291647700
2015-03-01,43.299999,43.299999,39.610001,40.549999,31.365625,370738500
2015-04-01,40.790001,41.610001,40.099998,40.560001,31.633682,284020300
2015-05-01,40.580002,41.689999,40.389999,40.959999,31.945654,230592600
2015-06-01,41.360001,41.410000,39.119999,39.230000,30.596384,288290300
2015-07-01,39.380001,41.599998,39.220001,41.080002,32.303566,268100000
2015-08-01,40.849998,42.250000,36.560001,39.320000,30.919569,342886000
2015-09-01,38.669998,40.230000,37.840000,40.119999,31.548664,347283900
2015-10-01,40.220001,43.849998,39.360001,42.349998,33.590763,366307300
